t_s,frame,key,value
0.1799,A,mrac.pitch.e,0.26850402
0.1799,A,mrac.pitch.u_ad,-0.026092088
0.1799,A,mrac.roll.e,-0.15711819
0.1799,A,mrac.roll.u_ad,0.17129648
0.1799,A,mrac.yaw.e,0.18880311
0.1799,A,mrac.yaw.u_ad,-0.023726821
0.1799,A,mrac.z.e,0.15591994
0.1799,A,mrac.z.u_ad,-0.10082411
0.1799,A,status.arm,1
0.1799,A,status.flymode,1
0.1799,A,status.rc_authority,0
0.1799,A,status.sbus_lost,0
0.1799,A,status.twc_arrived,0
0.1799,A,status.twc_execute,0
0.1799,B,mrac.pitch.theta_0,8.4475068e-05
0.1799,B,mrac.pitch.theta_1,0.0024432268
0.1799,B,mrac.pitch.theta_2,0.0018468435
0.1799,B,mrac.pitch.theta_3,0.0020296988
0.1799,B,mrac.pitch.theta_4,0.14729351
0.1799,B,mrac.pitch.theta_5,0.14472173
0.1799,B,mrac.pitch.u_nom,0.065489702
0.1799,B,mrac.pitch.xm,-0.1196174
0.1799,B,mrac.roll.theta_0,0.14899316
0.1799,B,mrac.roll.theta_1,0.0010986873
0.1799,B,mrac.roll.theta_2,0.005258664
0.1799,B,mrac.roll.theta_3,0.001760398
0.1799,B,mrac.roll.theta_4,0.07140819
0.1799,B,mrac.roll.theta_5,0.12094512
0.1799,B,mrac.roll.u_nom,0.040193032
0.1799,B,mrac.roll.xm,0.1606023
0.1799,B,mrac.yaw.theta_0,3.5150767e-13
0.1799,B,mrac.yaw.theta_1,0.0025376405
0.1799,B,mrac.yaw.theta_2,0.00027428963
0.1799,B,mrac.yaw.theta_3,0
0.1799,B,mrac.yaw.theta_4,0.083236977
0.1799,B,mrac.yaw.theta_5,0.088041648
0.1799,B,mrac.yaw.u_nom,-0.045751337
0.1799,B,mrac.yaw.xm,-0.22148667
0.1799,B,mrac.z.theta_0,0.00048302338
0.1799,B,mrac.z.theta_1,0.0065499619
0.1799,B,mrac.z.theta_2,0.00015611382
0.1799,B,mrac.z.theta_3,0
0.1799,B,mrac.z.theta_4,0.19695249
0.1799,B,mrac.z.theta_5,0.19376843
0.1799,B,mrac.z.u_nom,-0.39035013
0.1799,B,mrac.z.xm,-0.13870198
0.1799,B,path.active_path_mode,0
0.1799,B,path.circle_theta,0
0.1799,B,path.sinusoid_t_elapsed,0
0.1799,B,path.twc_arrived,0
0.1799,B,path.twc_target_x,0
0.1799,B,path.twc_target_y,0
0.1799,B,path.twc_target_z,0
0.1799,B,pid.gyrox.Des,9.2018299
0.1799,B,pid.gyrox.FB,-1.7334869
0.1799,B,pid.gyrox.U,47.025848
0.1799,B,pid.gyroy.Des,-6.853569
0.1799,B,pid.gyroy.FB,-2.6640172
0.1799,B,pid.gyroy.U,76.622948
0.1799,B,pid.gyroz.Des,-12.690247
0.1799,B,pid.gyroz.FB,-2.2331245
0.1799,B,pid.gyroz.U,-85.6465
0.1799,B,pid.locx.Des,0
0.1799,B,pid.locx.FB,-21.01667
0.1799,B,pid.locx.U,18.775677
0.1799,B,pid.locxs.Des,18.775677
0.1799,B,pid.locxs.FB,3.2790992
0.1799,B,pid.locxs.U,46.434837
0.1799,B,pid.locy.Des,0
0.1799,B,pid.locy.FB,14.352061
0.1799,B,pid.locy.U,-13.387046
0.1799,B,pid.locys.Des,-13.387046
0.1799,B,pid.locys.FB,-2.4995015
0.1799,B,pid.locys.U,-32.542397
0.1799,B,pid.pitch.Des,-3.2373493
0.1799,B,pid.pitch.FB,-0.97498661
0.1799,B,pid.pitch.U,-6.853569
0.1799,B,pid.roll.Des,0.67412674
0.1799,B,pid.roll.FB,-2.3580654
0.1799,B,pid.roll.U,9.2018299
0.1799,B,pid.yaw.Des,-68.50145
0.1799,B,pid.yaw.FB,-66.719742
