t_s,frame,key,value
0.0500,A,mrac.pitch.e,-0.021862939
0.0500,A,mrac.pitch.u_ad,-0.00673318
0.0500,A,mrac.roll.e,0.013049785
0.0500,A,mrac.roll.u_ad,0.016995519
0.0500,A,mrac.yaw.e,0.11679459
0.0500,A,mrac.yaw.u_ad,-0.013980301
0.0500,A,mrac.z.e,0.11777291
0.0500,A,mrac.z.u_ad,-0.063600644
0.0500,A,status.arm,1
0.0500,A,status.flymode,1
0.0500,A,status.rc_authority,0
0.0500,A,status.sbus_lost,0
0.0500,A,status.twc_arrived,0
0.0500,A,status.twc_execute,1
0.2500,A,mrac.pitch.e,-0.021862939
0.2500,A,mrac.pitch.u_ad,-0.00673318
0.2500,A,mrac.roll.e,0.013049785
0.2500,A,mrac.roll.u_ad,0.016995519
0.2500,A,mrac.yaw.e,0.11679459
0.2500,A,mrac.yaw.u_ad,-0.013980301
0.2500,A,mrac.z.e,0.11777291
0.2500,A,mrac.z.u_ad,-0.063600644
0.2500,A,status.arm,1
0.2500,A,status.flymode,1
0.2500,A,status.rc_authority,0
0.2500,A,status.sbus_lost,0
0.2500,A,status.twc_arrived,0
0.2500,A,status.twc_execute,1
0.4501,A,mrac.pitch.e,-0.021862939
0.4501,A,mrac.pitch.u_ad,-0.00673318
0.4501,A,mrac.roll.e,0.013049785
0.4501,A,mrac.roll.u_ad,0.016995519
0.4501,A,mrac.yaw.e,0.11679459
0.4501,A,mrac.yaw.u_ad,-0.013980301
0.4501,A,mrac.z.e,0.11777291
0.4501,A,mrac.z.u_ad,-0.063600644
0.4501,A,status.arm,1
0.4501,A,status.flymode,1
0.4501,A,status.rc_authority,0
0.4501,A,status.sbus_lost,0
0.4501,A,status.twc_arrived,0
0.4501,A,status.twc_execute,1
0.6502,A,mrac.pitch.e,-0.021862939
0.6502,A,mrac.pitch.u_ad,-0.00673318
0.6502,A,mrac.roll.e,0.013049785
0.6502,A,mrac.roll.u_ad,0.016995519
0.6502,A,mrac.yaw.e,0.11679459
0.6502,A,mrac.yaw.u_ad,-0.013980301
0.6502,A,mrac.z.e,0.11777291
0.6502,A,mrac.z.u_ad,-0.063600644
0.6502,A,status.arm,1
0.6502,A,status.flymode,1
0.6502,A,status.rc_authority,0
0.6502,A,status.sbus_lost,0
0.6502,A,status.twc_arrived,0
0.6502,A,status.twc_execute,1
0.8505,A,mrac.pitch.e,-0.021862939
0.8505,A,mrac.pitch.u_ad,-0.00673318
0.8505,A,mrac.roll.e,0.013049785
0.8505,A,mrac.roll.u_ad,0.016995519
0.8505,A,mrac.yaw.e,0.11679459
0.8505,A,mrac.yaw.u_ad,-0.013980301
0.8505,A,mrac.z.e,0.11777291
0.8505,A,mrac.z.u_ad,-0.063600644
0.8505,A,status.arm,1
0.8505,A,status.flymode,1
0.8505,A,status.rc_authority,0
0.8505,A,status.sbus_lost,0
0.8505,A,status.twc_arrived,0
0.8505,A,status.twc_execute,1
1.0655,A,mrac.pitch.e,-0.021862939
1.0655,A,mrac.pitch.u_ad,-0.00673318
1.0655,A,mrac.roll.e,0.013049785
1.0655,A,mrac.roll.u_ad,0.016995519
1.0655,A,mrac.yaw.e,0.11679459
1.0655,A,mrac.yaw.u_ad,-0.013980301
1.0655,A,mrac.z.e,0.11777291
1.0655,A,mrac.z.u_ad,-0.063600644
1.0655,A,status.arm,1
1.0655,A,status.flymode,1
1.0655,A,status.rc_authority,0
1.0655,A,status.sbus_lost,0
1.0655,A,status.twc_arrived,0
1.0655,A,status.twc_execute,1
1.2658,A,mrac.pitch.e,0.13240574
1.2658,A,mrac.pitch.u_ad,-0.015740344
1.2658,A,mrac.roll.e,-0.05809281
1.2658,A,mrac.roll.u_ad,0.022506787
1.2658,A,mrac.yaw.e,0.060614813
1.2658,A,mrac.yaw.u_ad,-0.011264792
1.2658,A,mrac.z.e,0.10577242
1.2658,A,mrac.z.u_ad,-0.0588548
1.2658,A,status.arm,1
1.2658,A,status.flymode,1
1.2658,A,status.rc_authority,0
1.2658,A,status.sbus_lost,0
1.2658,A,status.twc_arrived,0
1.2658,A,status.twc_execute,1
1.4661,A,mrac.pitch.e,0.13240574
1.4661,A,mrac.pitch.u_ad,-0.015740344
1.4661,A,mrac.roll.e,-0.05809281
1.4661,A,mrac.roll.u_ad,0.022506787
1.4661,A,mrac.yaw.e,0.060614813
1.4661,A,mrac.yaw.u_ad,-0.011264792
1.4661,A,mrac.z.e,0.10577242
1.4661,A,mrac.z.u_ad,-0.0588548
1.4661,A,status.arm,1
1.4661,A,status.flymode,1
1.4661,A,status.rc_authority,0
1.4661,A,status.sbus_lost,0
1.4661,A,status.twc_arrived,0
1.4661,A,status.twc_execute,1
1.6663,A,mrac.pitch.e,0.13240574
1.6663,A,mrac.pitch.u_ad,-0.015740344
1.6663,A,mrac.roll.e,-0.05809281
1.6663,A,mrac.roll.u_ad,0.022506787
1.6663,A,mrac.yaw.e,0.060614813
1.6663,A,mrac.yaw.u_ad,-0.011264792
1.6663,A,mrac.z.e,0.10577242
1.6663,A,mrac.z.u_ad,-0.0588548
1.6663,A,status.arm,1
1.6663,A,status.flymode,1
1.6663,A,status.rc_authority,0
1.6663,A,status.sbus_lost,0
1.6663,A,status.twc_arrived,0
1.6663,A,status.twc_execute,1
1.8843,A,mrac.pitch.e,0.13240574
1.8843,A,mrac.pitch.u_ad,-0.015740344
1.8843,A,mrac.roll.e,-0.05809281
1.8843,A,mrac.roll.u_ad,0.022506787
1.8843,A,mrac.yaw.e,0.060614813
1.8843,A,mrac.yaw.u_ad,-0.011264792
1.8843,A,mrac.z.e,0.10577242
1.8843,A,mrac.z.u_ad,-0.0588548
1.8843,A,status.arm,1
1.8843,A,status.flymode,1
1.8843,A,status.rc_authority,0
1.8843,A,status.sbus_lost,0
1.8843,A,status.twc_arrived,0
1.8843,A,status.twc_execute,1
2.0976,A,mrac.pitch.e,0.13240574
2.0976,A,mrac.pitch.u_ad,-0.015740344
2.0976,A,mrac.roll.e,-0.05809281
2.0976,A,mrac.roll.u_ad,0.022506787
2.0976,A,mrac.yaw.e,0.060614813
2.0976,A,mrac.yaw.u_ad,-0.011264792
2.0976,A,mrac.z.e,0.10577242
2.0976,A,mrac.z.u_ad,-0.0588548
2.0976,A,status.arm,1
2.0976,A,status.flymode,1
2.0976,A,status.rc_authority,0
2.0976,A,status.sbus_lost,0
2.0976,A,status.twc_arrived,0
2.0976,A,status.twc_execute,1
