t_s,frame,key,value
0.0805,A,mrac.pitch.e,0.1828997
0.0805,A,mrac.pitch.u_ad,-0.013815398
0.0805,A,mrac.roll.e,-0.0062744692
0.0805,A,mrac.roll.u_ad,0.038120791
0.0805,A,mrac.yaw.e,0.067524418
0.0805,A,mrac.yaw.u_ad,-0.0074304696
0.0805,A,mrac.z.e,0.18750133
0.0805,A,mrac.z.u_ad,-0.11253998
0.0805,A,status.arm,1
0.0805,A,status.flymode,1
0.0805,A,status.rc_authority,0
0.0805,A,status.sbus_lost,0
0.0805,A,status.twc_arrived,0
0.0805,A,status.twc_execute,0
0.0806,B,mrac.pitch.theta_0,0.003949238
0.0806,B,mrac.pitch.theta_1,0.00037052305
0.0806,B,mrac.pitch.theta_2,0.0013888651
0.0806,B,mrac.pitch.theta_3,0.0010799445
0.0806,B,mrac.pitch.theta_4,0.083029099
0.0806,B,mrac.pitch.theta_5,0.11228225
0.0806,B,mrac.pitch.u_nom,0.079310149
0.0806,B,mrac.pitch.xm,-0.072335429
0.0806,B,mrac.roll.theta_0,0.030827299
0.0806,B,mrac.roll.theta_1,3.0107987e-05
0.0806,B,mrac.roll.theta_2,0.0024559901
0.0806,B,mrac.roll.theta_3,0.0010379466
0.0806,B,mrac.roll.theta_4,0.044957351
0.0806,B,mrac.roll.theta_5,0.060681667
0.0806,B,mrac.roll.u_nom,-0.049521793
0.0806,B,mrac.roll.xm,0.018721366
0.0806,B,mrac.yaw.theta_0,1.0593139e-08
0.0806,B,mrac.yaw.theta_1,0.00094414252
0.0806,B,mrac.yaw.theta_2,0.0008651368
0.0806,B,mrac.yaw.theta_3,0
0.0806,B,mrac.yaw.theta_4,0.023286082
0.0806,B,mrac.yaw.theta_5,0.070516489
0.0806,B,mrac.yaw.u_nom,-0.027271738
0.0806,B,mrac.yaw.xm,-0.086101562
0.0806,B,mrac.z.theta_0,1.1181476e-20
0.0806,B,mrac.z.theta_1,0.0078224642
0.0806,B,mrac.z.theta_2,0.00053099048
0.0806,B,mrac.z.theta_3,0
0.0806,B,mrac.z.theta_4,0.19902082
0.0806,B,mrac.z.theta_5,0.19809444
0.0806,B,mrac.z.u_nom,-0.35599363
0.0806,B,mrac.z.xm,-0.19179417
0.0806,B,path.active_path_mode,2
0.0806,B,path.circle_theta,0
0.0806,B,path.sinusoid_t_elapsed,11.850224
0.0806,B,path.twc_arrived,0
0.0806,B,path.twc_target_x,-0.18227412
0.0806,B,path.twc_target_y,2.5284078
0.0806,B,path.twc_target_z,0.5
0.0806,B,pid.gyrox.Des,1.0726548
0.0806,B,pid.gyrox.FB,0.91571206
0.0806,B,pid.gyrox.U,-57.940498
