t_s,frame,key,value
0.0016,ID,id.arm,1
0.0016,ID,id.axis,0
0.0016,ID,id.dither,-0
0.0016,ID,id.mode,1
0.0016,ID,id.pitch.r,-0.11207105
0.0016,ID,id.pitch.u_ad,-0.018069126
0.0016,ID,id.pitch.u_nom,0.068567552
0.0016,ID,id.pitch.x,-0.079885595
0.0016,ID,id.pitch.xm,-0.11207105
0.0016,ID,id.sample_counter,17201
0.0016,ID,id.sysid_state,3
0.0016,ID,id.vbat,0
0.1132,A,mrac.pitch.e,0.038041428
0.1132,A,mrac.pitch.u_ad,-0.0080588767
0.1132,A,mrac.roll.e,-0.10517766
0.1132,A,mrac.roll.u_ad,0.15730485
0.1132,A,mrac.yaw.e,0.1586474
0.1132,A,mrac.yaw.u_ad,-0.021560421
0.1132,A,mrac.z.e,0.29344776
0.1132,A,mrac.z.u_ad,-0.10791735
0.1132,A,status.arm,1
0.1132,A,status.flymode,1
0.1132,A,status.rc_authority,0
0.1132,A,status.sbus_lost,0
0.1132,A,status.twc_arrived,0
0.1132,A,status.twc_execute,0
0.1133,B,mrac.pitch.theta_0,0.0012655966
0.1133,B,mrac.pitch.theta_1,0.00080974138
0.1133,B,mrac.pitch.theta_2,0.0022910023
0.1133,B,mrac.pitch.theta_3,0.0014523705
0.1133,B,mrac.pitch.theta_4,0.12663689
0.1133,B,mrac.pitch.theta_5,0.14442697
0.1133,B,mrac.pitch.u_nom,-0.11180462
0.1133,B,mrac.pitch.xm,-0.041282307
0.1133,B,mrac.roll.theta_0,0.14885204
0.1133,B,mrac.roll.theta_1,0.00046755481
0.1133,B,mrac.roll.theta_2,0.004131699
0.1133,B,mrac.roll.theta_3,0.0014234255
0.1133,B,mrac.roll.theta_4,0.067064069
0.1133,B,mrac.roll.theta_5,0.066320561
0.1133,B,mrac.roll.u_nom,0.043217864
0.1133,B,mrac.roll.xm,0.11766478
0.1133,B,mrac.yaw.theta_0,1.4012985e-44
0.1133,B,mrac.yaw.theta_1,0.002993576
0.1133,B,mrac.yaw.theta_2,4.4829649e-05
0.1133,B,mrac.yaw.theta_3,0
0.1133,B,mrac.yaw.theta_4,0.074246392
0.1133,B,mrac.yaw.theta_5,0.088520072
0.1133,B,mrac.yaw.u_nom,-0.055940297
0.1133,B,mrac.yaw.xm,-0.20619559
0.1133,B,mrac.z.theta_0,0.00045406158
0.1133,B,mrac.z.theta_1,0.011544779
0.1133,B,mrac.z.theta_2,9.8145556e-06
0.1133,B,mrac.z.theta_3,0
0.1133,B,mrac.z.theta_4,0.19740857
0.1133,B,mrac.z.theta_5,0.19534665
0.1133,B,mrac.z.u_nom,-0.30745944
0.1133,B,mrac.z.xm,-0.14241208
0.1133,B,path.active_path_mode,0
0.1133,B,path.circle_theta,0
0.1133,B,path.sinusoid_t_elapsed,0
0.1133,B,path.twc_arrived,0
0.1133,B,path.twc_target_x,0
0.1133,B,path.twc_target_y,0
0.1133,B,path.twc_target_z,0
0.1133,B,pid.gyrox.Des,6.7416921
0.1133,B,pid.gyrox.FB,2.5071204
0.1133,B,pid.gyrox.U,50.564899
0.1133,B,pid.gyroy.Des,-2.3653009
0.1133,B,pid.gyroy.FB,8.4519119
0.1133,B,pid.gyroy.U,-130.8114
0.1133,B,pid.gyroz.Des,-11.814133
0.1133,B,pid.gyroz.FB,1.0299487
0.1133,B,pid.gyroz.U,-104.72024
0.1133,B,pid.locx.Des,0
0.1133,B,pid.locx.FB,9.0007219
0.1133,B,pid.locx.U,-8.8816881
0.1133,B,pid.locxs.Des,-8.8816881
0.1133,B,pid.locxs.FB,-6.9725766
0.1133,B,pid.locxs.U,-5.3430476
0.1133,B,pid.locy.Des,0
0.1133,B,pid.locy.FB,-3.4130971
0.1133,B,pid.locy.U,2.572073
0.1133,B,pid.locys.Des,2.572073
0.1133,B,pid.locys.FB,-1.1760836
0.1133,B,pid.locys.U,11.497493
0.1133,B,pid.pitch.Des,-0.29502481
0.1133,B,pid.pitch.FB,0.48446593
0.1133,B,pid.pitch.U,-2.3653009
0.1133,B,pid.roll.Des,0.67934358
0.1133,B,pid.roll.FB,-1.6023579
0.1133,B,pid.roll.U,6.7416921
0.1133,B,pid.yaw.Des,86.920364
0.1133,B,pid.yaw.FB,88.556053
0.1133,B,pid.yaw.U,-11.814133
0.1133,B,pid.z_pos.Des,1.0491062
0.1133,B,pid.z_pos.FB,1.0395561
0.1133,B,pid.z_pos.U,-0.14241208
0.1133,B,pid.z_rate.Des,-0.14241208
0.1133,B,pid.z_rate.FB,-0.0043970984
0.1133,B,pid.z_rate.U,-68.255997
0.1133,B,status.vbat,0
0.3140,A,mrac.pitch.e,0.038041428
0.3140,A,mrac.pitch.u_ad,-0.0080588767
0.3140,A,mrac.roll.e,-0.10517766
0.3140,A,mrac.roll.u_ad,0.15730485
0.3140,A,mrac.yaw.e,0.1586474
0.3140,A,mrac.yaw.u_ad,-0.021560421
