t_s,frame,key,value
0.2143,A,mrac.pitch.e,-0.072004497
0.2143,A,mrac.pitch.u_ad,-0.058093809
0.2143,A,mrac.roll.e,-0.14064866
0.2143,A,mrac.roll.u_ad,0.075144812
0.2143,A,mrac.yaw.e,-0.30900186
0.2143,A,mrac.yaw.u_ad,0.092861123
0.2143,A,mrac.z.e,0.44673306
0.2143,A,mrac.z.u_ad,-0.18271565
0.2143,A,status.arm,1
0.2143,A,status.flymode,1
0.2143,A,status.rc_authority,1
0.2143,A,status.sbus_lost,0
0.2143,A,status.twc_arrived,0
0.2143,A,status.twc_execute,1
0.2144,B,mrac.pitch.theta_0,2.9868147e-22
0.2144,B,mrac.pitch.theta_1,0.0051068515
0.2144,B,mrac.pitch.theta_2,0.0022887741
0.2144,B,mrac.pitch.theta_3,0.0026093097
0.2144,B,mrac.pitch.theta_4,0.039312575
0.2144,B,mrac.pitch.theta_5,0.10021211
0.2144,B,mrac.pitch.u_nom,-0.01080379
0.2144,B,mrac.pitch.xm,-0.6196959
0.2144,B,mrac.roll.theta_0,0.13119142
0.2144,B,mrac.roll.theta_1,0.0017210102
0.2144,B,mrac.roll.theta_2,0.0017177858
0.2144,B,mrac.roll.theta_3,0.0020031342
0.2144,B,mrac.roll.theta_4,0.057514455
0.2144,B,mrac.roll.theta_5,0.13606173
0.2144,B,mrac.roll.u_nom,0.034176543
0.2144,B,mrac.roll.xm,-0.54272002
0.2144,B,mrac.yaw.theta_0,0.022418896
0.2144,B,mrac.yaw.theta_1,0.0010040981
0.2144,B,mrac.yaw.theta_2,0.0029774914
0.2144,B,mrac.yaw.theta_3,0
0.2144,B,mrac.yaw.theta_4,0.016492477
0.2144,B,mrac.yaw.theta_5,0.06388849
0.2144,B,mrac.yaw.u_nom,0.12991484
0.2144,B,mrac.yaw.xm,1.0471979
0.2144,B,mrac.z.theta_0,1.9616168e-07
0.2144,B,mrac.z.theta_1,0.0065800585
0.2144,B,mrac.z.theta_2,0.004354944
0.2144,B,mrac.z.theta_3,0
0.2144,B,mrac.z.theta_4,0.19764845
0.2144,B,mrac.z.theta_5,0.14138806
0.2144,B,mrac.z.u_nom,-0.6170153
0.2144,B,mrac.z.xm,-0.29020342
0.2144,B,path.active_path_mode,1
0.2144,B,path.circle_theta,0
0.2144,B,path.sinusoid_t_elapsed,0
0.2144,B,path.twc_arrived,0
0.2144,B,path.twc_target_x,80.000008
0.2144,B,path.twc_target_y,0
