t_s,frame,key,value
0.0482,A,mrac.pitch.e,0.0754347
0.0482,A,mrac.pitch.u_ad,-0.020699484
0.0482,A,mrac.roll.e,-0.15881893
0.0482,A,mrac.roll.u_ad,0.15129453
0.0482,A,mrac.yaw.e,0.18393214
0.0482,A,mrac.yaw.u_ad,-0.022832399
0.0482,A,mrac.z.e,0.17090751
0.0482,A,mrac.z.u_ad,-0.10619906
0.0482,A,status.arm,1
0.0482,A,status.flymode,1
0.0482,A,status.rc_authority,0
0.0482,A,status.sbus_lost,0
0.0482,A,status.twc_arrived,0
0.0482,A,status.twc_execute,0
0.0483,B,mrac.pitch.theta_0,0.00015204248
0.0483,B,mrac.pitch.theta_1,0.0013263384
0.0483,B,mrac.pitch.theta_2,0.0024243414
0.0483,B,mrac.pitch.theta_3,0.0018116003
0.0483,B,mrac.pitch.theta_4,0.16563597
0.0483,B,mrac.pitch.theta_5,0.14476167
0.0483,B,mrac.pitch.u_nom,-0.081207834
0.0483,B,mrac.pitch.xm,-0.10788759
0.0483,B,mrac.roll.theta_0,0.14264886
0.0483,B,mrac.roll.theta_1,0.00032670749
0.0483,B,mrac.roll.theta_2,0.005109638
0.0483,B,mrac.roll.theta_3,0.0018670253
0.0483,B,mrac.roll.theta_4,0.084483616
0.0483,B,mrac.roll.theta_5,0.080337889
0.0483,B,mrac.roll.u_nom,-0.055140022
0.0483,B,mrac.roll.xm,0.061016865
0.0483,B,mrac.yaw.theta_0,1.2611686e-44
0.0483,B,mrac.yaw.theta_1,0.0030027011
0.0483,B,mrac.yaw.theta_2,3.0393336e-05
0.0483,B,mrac.yaw.theta_3,0
0.0483,B,mrac.yaw.theta_4,0.10136203
0.0483,B,mrac.yaw.theta_5,0.088431299
0.0483,B,mrac.yaw.u_nom,-0.04076013
0.0483,B,mrac.yaw.xm,-0.20484059
0.0483,B,mrac.z.theta_0,8.9120404e-05
0.0483,B,mrac.z.theta_1,0.0075638797
0.0483,B,mrac.z.theta_2,9.2929859e-06
