t_s,frame,key,value
0.0451,A,mrac.pitch.e,0.16621429
0.0451,A,mrac.pitch.u_ad,-0.01193944
0.0451,A,mrac.roll.e,0.12475484
0.0451,A,mrac.roll.u_ad,0.018369196
0.0451,A,mrac.yaw.e,-0.014318325
0.0451,A,mrac.yaw.u_ad,-0.0039043359
0.0451,A,mrac.z.e,0.11392169
0.0451,A,mrac.z.u_ad,-0.058676578
0.0451,A,status.arm,1
0.0451,A,status.flymode,1
0.0451,A,status.rc_authority,1
0.0451,A,status.sbus_lost,0
0.0451,A,status.twc_arrived,0
0.0451,A,status.twc_execute,1
0.2608,A,mrac.pitch.e,0.15862095
0.2608,A,mrac.pitch.u_ad,-0.01058418
0.2608,A,mrac.roll.e,0.041141797
0.2608,A,mrac.roll.u_ad,0.021673486
0.2608,A,mrac.yaw.e,-0.0013056174
0.2608,A,mrac.yaw.u_ad,-0.0051591252
0.2608,A,mrac.z.e,0.095702752
0.2608,A,mrac.z.u_ad,-0.051109333
0.2608,A,status.arm,1
0.2608,A,status.flymode,1
0.2608,A,status.rc_authority,1
0.2608,A,status.sbus_lost,0
0.2608,A,status.twc_arrived,0
0.2608,A,status.twc_execute,1
0.4616,A,mrac.pitch.e,-0.10000569
0.4616,A,mrac.pitch.u_ad,-0.0063587343
0.4616,A,mrac.roll.e,0.059033774
0.4616,A,mrac.roll.u_ad,0.015598457
0.4616,A,mrac.yaw.e,0.039658647
0.4616,A,mrac.yaw.u_ad,-0.0041129114
0.4616,A,mrac.z.e,0.21027493
0.4616,A,mrac.z.u_ad,-0.093350992
0.4616,A,status.arm,1
0.4616,A,status.flymode,1
0.4616,A,status.rc_authority,1
0.4616,A,status.sbus_lost,0
0.4616,A,status.twc_arrived,0
0.4616,A,status.twc_execute,1
0.6636,A,mrac.pitch.e,0.19790205
0.6636,A,mrac.pitch.u_ad,-0.016594866
0.6636,A,mrac.roll.e,-0.11069573
0.6636,A,mrac.roll.u_ad,0.020879773
0.6636,A,mrac.yaw.e,0.034896366
0.6636,A,mrac.yaw.u_ad,-0.005434141
0.6636,A,mrac.z.e,0.038999595
0.6636,A,mrac.z.u_ad,-0.031859685
0.6636,A,status.arm,1
0.6636,A,status.flymode,1
0.6636,A,status.rc_authority,1
0.6636,A,status.sbus_lost,0
0.6636,A,status.twc_arrived,0
0.6636,A,status.twc_execute,1
0.8777,A,mrac.pitch.e,-0.004418999
0.8777,A,mrac.pitch.u_ad,-0.0075830002
0.8777,A,mrac.roll.e,0.06583526
0.8777,A,mrac.roll.u_ad,0.018551204
0.8777,A,mrac.yaw.e,0.0089821815
0.8777,A,mrac.yaw.u_ad,-0.0042138807
0.8777,A,mrac.z.e,0.11373226
0.8777,A,mrac.z.u_ad,-0.059088182
0.8777,A,status.arm,1
0.8777,A,status.flymode,1
0.8777,A,status.rc_authority,1
0.8777,A,status.sbus_lost,0
0.8777,A,status.twc_arrived,0
0.8777,A,status.twc_execute,1
1.0799,A,mrac.pitch.e,-0.065986603
1.0799,A,mrac.pitch.u_ad,-0.0090282774
1.0799,A,mrac.roll.e,0.09590929
1.0799,A,mrac.roll.u_ad,0.019241478
1.0799,A,mrac.yaw.e,-0.036191139
1.0799,A,mrac.yaw.u_ad,-0.001371145
1.0799,A,mrac.z.e,0.083262138
1.0799,A,mrac.z.u_ad,-0.046938732
1.0799,A,status.arm,1
1.0799,A,status.flymode,1
1.0799,A,status.rc_authority,1
1.0799,A,status.sbus_lost,0
1.0799,A,status.twc_arrived,0
1.0799,A,status.twc_execute,1
1.2951,A,mrac.pitch.e,-0.065986603
1.2951,A,mrac.pitch.u_ad,-0.0090282774
1.2951,A,mrac.roll.e,0.09590929
1.2951,A,mrac.roll.u_ad,0.019241478
1.2951,A,mrac.yaw.e,-0.036191139
1.2951,A,mrac.yaw.u_ad,-0.001371145
1.2951,A,mrac.z.e,0.083262138
1.2951,A,mrac.z.u_ad,-0.046938732
1.2951,A,status.arm,1
1.2951,A,status.flymode,1
1.2951,A,status.rc_authority,1
1.2951,A,status.sbus_lost,0
1.2951,A,status.twc_arrived,0
1.2951,A,status.twc_execute,1
1.4974,A,mrac.pitch.e,0.21703953
1.4974,A,mrac.pitch.u_ad,-0.012652879
1.4974,A,mrac.roll.e,-0.020927502
1.4974,A,mrac.roll.u_ad,0.01409274
1.4974,A,mrac.yaw.e,0.03845996
1.4974,A,mrac.yaw.u_ad,-0.0022120939
1.4974,A,mrac.z.e,0.1128903
1.4974,A,mrac.z.u_ad,-0.059173416
1.4974,A,status.arm,1
1.4974,A,status.flymode,1
1.4974,A,status.rc_authority,1
1.4974,A,status.sbus_lost,0
1.4974,A,status.twc_arrived,0
1.4974,A,status.twc_execute,1
1.7110,A,mrac.pitch.e,0.27142301
1.7110,A,mrac.pitch.u_ad,-0.014711937
1.7110,A,mrac.roll.e,-0.069937222
1.7110,A,mrac.roll.u_ad,0.017218044
1.7110,A,mrac.yaw.e,0.083946593
1.7110,A,mrac.yaw.u_ad,-0.0036497642
1.7110,A,mrac.z.e,0.11242209
1.7110,A,mrac.z.u_ad,-0.059383899
1.7110,A,status.arm,1
1.7110,A,status.flymode,1
1.7110,A,status.rc_authority,1
1.7110,A,status.sbus_lost,0
1.7110,A,status.twc_arrived,0
1.7110,A,status.twc_execute,1
1.9122,A,mrac.pitch.e,0.090607584
1.9122,A,mrac.pitch.u_ad,-0.0086303838
1.9122,A,mrac.roll.e,0.097270004
1.9122,A,mrac.roll.u_ad,0.013590616
1.9122,A,mrac.yaw.e,0.08581005
1.9122,A,mrac.yaw.u_ad,-0.0055343211
1.9122,A,mrac.z.e,0.019214168
1.9122,A,mrac.z.u_ad,-0.024806727
1.9122,A,status.arm,1
1.9122,A,status.flymode,1
1.9122,A,status.rc_authority,1
1.9122,A,status.sbus_lost,0
1.9122,A,status.twc_arrived,0
1.9122,A,status.twc_execute,1
2.1291,A,mrac.pitch.e,0.28033537
2.1291,A,mrac.pitch.u_ad,-0.014413338
2.1291,A,mrac.roll.e,0.0057631768
2.1291,A,mrac.roll.u_ad,0.024814803
2.1291,A,mrac.yaw.e,0.011639532
2.1291,A,mrac.yaw.u_ad,-0.0046163062
2.1291,A,mrac.z.e,0.14529361
2.1291,A,mrac.z.u_ad,-0.070428841
2.1291,A,status.arm,1
2.1291,A,status.flymode,1
2.1291,A,status.rc_authority,1
2.1291,A,status.sbus_lost,0
2.1291,A,status.twc_arrived,0
2.1291,A,status.twc_execute,1
2.3299,A,mrac.pitch.e,0.10597291
2.3299,A,mrac.pitch.u_ad,-0.012200871
2.3299,A,mrac.roll.e,-0.089179814
