t_s,frame,key,value
0.0203,ID,id.arm,1
0.0203,ID,id.mode,1
0.0203,ID,id.pitch.r,-0.17930061
0.0203,ID,id.pitch.u_ad,-0.013431009
0.0203,ID,id.pitch.u_nom,-0.020606184
0.0203,ID,id.pitch.x,0.0019065186
0.0203,ID,id.pitch.xm,-0.17930061
0.0203,ID,id.roll.r,0.1963633
0.0203,ID,id.roll.u_ad,0.17169686
0.0203,ID,id.roll.u_nom,0.080059893
0.0203,ID,id.roll.x,-0.016258959
0.0203,ID,id.roll.xm,0.1963633
0.0203,ID,id.sample_counter,0
0.0203,ID,id.sysid_state,0
0.0203,ID,id.vbat,0
0.0203,ID,id.yaw.r,-0.14286733
0.0203,ID,id.yaw.u_ad,-0.014167227
0.0203,ID,id.yaw.u_nom,-0.020413354
0.0203,ID,id.yaw.x,-0.063940279
0.0203,ID,id.yaw.xm,-0.14286733
0.0203,ID,id.z.r,-0.34104711
0.0203,ID,id.z.u_ad,-0.21868426
0.0203,ID,id.z.u_nom,-1.0451545
0.0203,ID,id.z.x,0.24261434
0.0203,ID,id.z.xm,-0.34104711
0.0485,A,mrac.pitch.e,0.31464827
0.0485,A,mrac.pitch.u_ad,-0.013705534
0.0485,A,mrac.roll.e,-0.10239623
0.0485,A,mrac.roll.u_ad,0.17122753
0.0485,A,mrac.yaw.e,0.096846953
0.0485,A,mrac.yaw.u_ad,-0.01445942
0.0485,A,mrac.z.e,0.42840832
0.0485,A,mrac.z.u_ad,-0.20499681
0.0485,A,status.arm,1
0.0485,A,status.flymode,1
0.0485,A,status.rc_authority,0
0.0485,A,status.sbus_lost,0
0.0485,A,status.twc_arrived,0
0.0485,A,status.twc_execute,0
0.0486,B,mrac.pitch.theta_0,0.0001740989
0.0486,B,mrac.pitch.theta_1,0.0040556714
0.0486,B,mrac.pitch.theta_2,0.00064100354
0.0486,B,mrac.pitch.theta_3,0.0011117918
0.0486,B,mrac.pitch.theta_4,0.026571369
0.0486,B,mrac.pitch.theta_5,0.070188627
0.0486,B,mrac.pitch.u_nom,0.020991793
0.0486,B,mrac.pitch.xm,-0.17955576
0.0486,B,mrac.roll.theta_0,0.14898223
0.0486,B,mrac.roll.theta_1,0.0027588918
0.0486,B,mrac.roll.theta_2,0.0020569428
0.0486,B,mrac.roll.theta_3,0.00096943753
0.0486,B,mrac.roll.theta_4,0.037095502
0.0486,B,mrac.roll.theta_5,0.10885958
0.0486,B,mrac.roll.u_nom,0.11138345
0.0486,B,mrac.roll.xm,0.19700797
0.0486,B,mrac.yaw.theta_0,1.9618179e-44
0.0486,B,mrac.yaw.theta_1,0.0076533128
0.0486,B,mrac.yaw.theta_2,0.0017846256
0.0486,B,mrac.yaw.theta_3,0
0.0486,B,mrac.yaw.theta_4,0.020988116
0.0486,B,mrac.yaw.theta_5,0.086471781
0.0486,B,mrac.yaw.u_nom,-0.045848727
0.0486,B,mrac.yaw.xm,-0.15362358
0.0486,B,mrac.z.theta_0,8.2464641e-14
0.0486,B,mrac.z.theta_1,0.012924772
0.0486,B,mrac.z.theta_2,0.0011715944
0.0486,B,mrac.z.theta_3,0
0.0486,B,mrac.z.theta_4,0.19876105
0.0486,B,mrac.z.theta_5,0.18939981
0.0486,B,mrac.z.u_nom,-0.82861984
0.0486,B,mrac.z.xm,-0.33302709
0.0486,B,path.active_path_mode,0
0.0486,B,path.circle_theta,0
0.0486,B,path.sinusoid_t_elapsed,0
0.0486,B,path.twc_arrived,0
0.0486,B,path.twc_target_x,0
0.0486,B,path.twc_target_y,0
0.0486,B,path.twc_target_z,0
0.0486,B,pid.gyrox.Des,11.287721
0.0486,B,pid.gyrox.FB,-3.5316722
0.0486,B,pid.gyrox.U,130.31863
0.0486,B,pid.gyroy.Des,-10.287783
0.0486,B,pid.gyroy.FB,-2.8607705
0.0486,B,pid.gyroy.U,24.560398
0.0486,B,pid.gyroz.Des,-8.8019791
0.0486,B,pid.gyroz.FB,1.6734066
0.0486,B,pid.gyroz.U,-85.828819
0.0486,B,pid.locx.Des,2.2187285
0.0486,B,pid.locx.FB,-9.0054216
0.0486,B,pid.locx.U,10.746669
0.0486,B,pid.locxs.Des,10.746669
0.0486,B,pid.locxs.FB,5.7618937
0.0486,B,pid.locxs.U,14.67147
0.0486,B,pid.locy.Des,-45.577385
0.0486,B,pid.locy.FB,-15.639402
0.0486,B,pid.locy.U,-26.111237
0.0486,B,pid.locys.Des,-26.111237
0.0486,B,pid.locys.FB,2.6077924
0.0486,B,pid.locys.U,-86.342087
0.0486,B,pid.pitch.Des,-4.2760048
0.0486,B,pid.pitch.FB,-0.87239885
0.0486,B,pid.pitch.U,-10.287783
0.0486,B,pid.roll.Des,2.7949691
