t_s,frame,key,value
0.0728,A,mrac.pitch.e,0.095951952
0.0728,A,mrac.pitch.u_ad,-0.018416222
0.0728,A,mrac.roll.e,0.14625724
0.0728,A,mrac.roll.u_ad,0.016707536
0.0728,A,mrac.yaw.e,-0.053148787
0.0728,A,mrac.yaw.u_ad,-0.0032889438
0.0728,A,mrac.z.e,0.097131938
0.0728,A,mrac.z.u_ad,-0.050321013
0.0728,A,status.arm,1
0.0728,A,status.flymode,1
0.0728,A,status.rc_authority,1
0.0728,A,status.sbus_lost,0
0.0728,A,status.twc_arrived,0
0.0728,A,status.twc_execute,1
0.2739,A,mrac.pitch.e,0.11169782
0.2739,A,mrac.pitch.u_ad,-0.012737657
0.2739,A,mrac.roll.e,0.22112434
0.2739,A,mrac.roll.u_ad,0.0099638235
0.2739,A,mrac.yaw.e,0.11664683
0.2739,A,mrac.yaw.u_ad,-0.0065710535
0.2739,A,mrac.z.e,0.11408537
0.2739,A,mrac.z.u_ad,-0.05886621
0.2739,A,status.arm,1
0.2739,A,status.flymode,1
0.2739,A,status.rc_authority,1
0.2739,A,status.sbus_lost,0
0.2739,A,status.twc_arrived,0
0.2739,A,status.twc_execute,1
0.4896,A,mrac.pitch.e,0.15123865
0.4896,A,mrac.pitch.u_ad,-0.015250811
0.4896,A,mrac.roll.e,0.02902697
0.4896,A,mrac.roll.u_ad,0.014328967
0.4896,A,mrac.yaw.e,0.06585642
0.4896,A,mrac.yaw.u_ad,-0.0065109278
0.4896,A,mrac.z.e,0.080674961
0.4896,A,mrac.z.u_ad,-0.044862751
0.4896,A,status.arm,1
0.4896,A,status.flymode,1
0.4896,A,status.rc_authority,1
0.4896,A,status.sbus_lost,0
0.4896,A,status.twc_arrived,0
0.4896,A,status.twc_execute,1
0.6925,A,mrac.pitch.e,0.22976235
0.6925,A,mrac.pitch.u_ad,-0.03313427
0.6925,A,mrac.roll.e,-0.029565614
0.6925,A,mrac.roll.u_ad,0.017612657
0.6925,A,mrac.yaw.e,0.0076610763
0.6925,A,mrac.yaw.u_ad,-0.00092085626
0.6925,A,mrac.z.e,0.10880439
0.6925,A,mrac.z.u_ad,-0.057349205
0.6925,A,status.arm,1
0.6925,A,status.flymode,1
0.6925,A,status.rc_authority,1
0.6925,A,status.sbus_lost,0
0.6925,A,status.twc_arrived,0
0.6925,A,status.twc_execute,1
0.9075,A,mrac.pitch.e,0.24267909
0.9075,A,mrac.pitch.u_ad,-0.030878333
0.9075,A,mrac.roll.e,-0.017220216
0.9075,A,mrac.roll.u_ad,0.017683081
0.9075,A,mrac.yaw.e,-0.0087234769
0.9075,A,mrac.yaw.u_ad,0.004109167
0.9075,A,mrac.z.e,-0.10656938
0.9075,A,mrac.z.u_ad,0.018577637
0.9075,A,status.arm,1
0.9075,A,status.flymode,1
0.9075,A,status.rc_authority,1
0.9075,A,status.sbus_lost,0
0.9075,A,status.twc_arrived,0
0.9075,A,status.twc_execute,1
1.1237,A,mrac.pitch.e,0.30633265
1.1237,A,mrac.pitch.u_ad,-0.039235588
1.1237,A,mrac.roll.e,-0.067627847
1.1237,A,mrac.roll.u_ad,0.022487225
1.1237,A,mrac.yaw.e,0.077579148
1.1237,A,mrac.yaw.u_ad,-0.0015717604
1.1237,A,mrac.z.e,0.083484471
1.1237,A,mrac.z.u_ad,-0.047074649
1.1237,A,status.arm,1
1.1237,A,status.flymode,1
1.1237,A,status.rc_authority,1
1.1237,A,status.sbus_lost,0
1.1237,A,status.twc_arrived,0
1.1237,A,status.twc_execute,1
1.3406,A,mrac.pitch.e,0.31377825
1.3406,A,mrac.pitch.u_ad,-0.041153915
1.3406,A,mrac.roll.e,-0.03374305
1.3406,A,mrac.roll.u_ad,0.028281692
1.3406,A,mrac.yaw.e,0.10617866
1.3406,A,mrac.yaw.u_ad,-0.0045964932
1.3406,A,mrac.z.e,0.086132973
1.3406,A,mrac.z.u_ad,-0.048852704
1.3406,A,status.arm,1
1.3406,A,status.flymode,1
1.3406,A,status.rc_authority,1
1.3406,A,status.sbus_lost,0
1.3406,A,status.twc_arrived,0
1.3406,A,status.twc_execute,1
1.5414,A,mrac.pitch.e,0.33502316
1.5414,A,mrac.pitch.u_ad,-0.03789119
1.5414,A,mrac.roll.e,-0.087566905
1.5414,A,mrac.roll.u_ad,0.03106058
1.5414,A,mrac.yaw.e,0.12095909
1.5414,A,mrac.yaw.u_ad,-0.006115281
1.5414,A,mrac.z.e,0.14459255
1.5414,A,mrac.z.u_ad,-0.071774453
1.5414,A,status.arm,1
1.5414,A,status.flymode,1
1.5414,A,status.rc_authority,1
1.5414,A,status.sbus_lost,0
1.5414,A,status.twc_arrived,0
1.5414,A,status.twc_execute,1
1.7581,A,mrac.pitch.e,0.29352522
1.7581,A,mrac.pitch.u_ad,-0.036633387
1.7581,A,mrac.roll.e,0.06603539
1.7581,A,mrac.roll.u_ad,0.01828203
1.7581,A,mrac.yaw.e,0.049391549
1.7581,A,mrac.yaw.u_ad,-0.0027416588
1.7581,A,mrac.z.e,0.094615281
1.7581,A,mrac.z.u_ad,-0.055105619
1.7581,A,status.arm,1
1.7581,A,status.flymode,1
1.7581,A,status.rc_authority,1
1.7581,A,status.sbus_lost,0
1.7581,A,status.twc_arrived,0
1.7581,A,status.twc_execute,1
1.9613,A,mrac.pitch.e,0.24702537
1.9613,A,mrac.pitch.u_ad,-0.036876827
1.9613,A,mrac.roll.e,-0.03987183
1.9613,A,mrac.roll.u_ad,0.026715109
1.9613,A,mrac.yaw.e,0.026370972
1.9613,A,mrac.yaw.u_ad,-0.00088278326
1.9613,A,mrac.z.e,0.14038596
1.9613,A,mrac.z.u_ad,-0.066462159
1.9613,A,status.arm,1
1.9613,A,status.flymode,1
1.9613,A,status.rc_authority,1
1.9613,A,status.sbus_lost,0
1.9613,A,status.twc_arrived,1
1.9613,A,status.twc_execute,1
2.1726,A,mrac.pitch.e,0.086461782
2.1726,A,mrac.pitch.u_ad,-0.023333125
2.1726,A,mrac.roll.e,0.12772404
2.1726,A,mrac.roll.u_ad,0.022349589
2.1726,A,mrac.yaw.e,0.072104603
2.1726,A,mrac.yaw.u_ad,-0.0031617021
2.1726,A,mrac.z.e,0.087235741
2.1726,A,mrac.z.u_ad,-0.046510547
2.1726,A,status.arm,1
2.1726,A,status.flymode,1
