t_s,frame,key,value
0.0057,OF,of.acc_x_mg,23
0.0057,OF,of.acc_y_mg,-16
0.0057,OF,of.alt_cm,3
0.0057,OF,of.bias_x,0
0.0057,OF,of.bias_y,0
0.0057,OF,of.earth_x,0
0.0057,OF,of.earth_y,0
0.0057,OF,of.lin_acc_x_mg,4
0.0057,OF,of.lin_acc_y_mg,0
0.0057,OF,of.of2_dx,0
0.0057,OF,of.of2_dx_fix,0
0.0057,OF,of.of2_dy,0
0.0057,OF,of.of2_dy_fix,0
0.0057,OF,of.pit,-1.08
0.0057,OF,of.quality,255
0.0057,OF,of.rol,-0.95
0.0057,OF,of.sample_counter,2646
0.0057,OF,of.yaw,10.61
0.0113,OF,of.acc_x_mg,23
0.0113,OF,of.acc_y_mg,-17
0.0113,OF,of.alt_cm,3
0.0113,OF,of.bias_x,0
0.0113,OF,of.bias_y,0
0.0113,OF,of.earth_x,0
0.0113,OF,of.earth_y,0
0.0113,OF,of.lin_acc_x_mg,4
0.0113,OF,of.lin_acc_y_mg,0
0.0113,OF,of.of2_dx,0
0.0113,OF,of.of2_dx_fix,0
0.0113,OF,of.of2_dy,0
0.0113,OF,of.of2_dy_fix,0
0.0113,OF,of.pit,-1.08
0.0113,OF,of.quality,255
0.0113,OF,of.rol,-0.94
0.0113,OF,of.sample_counter,2647
0.0113,OF,of.yaw,10.62
0.0138,OF,of.acc_x_mg,22
0.0138,OF,of.acc_y_mg,-16
0.0138,OF,of.alt_cm,4
0.0138,OF,of.bias_x,0
0.0138,OF,of.bias_y,0
0.0138,OF,of.earth_x,0
0.0138,OF,of.earth_y,0
0.0138,OF,of.lin_acc_x_mg,3
0.0138,OF,of.lin_acc_y_mg,0
0.0138,OF,of.of2_dx,0
0.0138,OF,of.of2_dx_fix,0
0.0138,OF,of.of2_dy,0
0.0138,OF,of.of2_dy_fix,0
0.0138,OF,of.pit,-1.08
0.0138,OF,of.quality,255
0.0138,OF,of.rol,-0.95
0.0138,OF,of.sample_counter,2648
0.0138,OF,of.yaw,10.63
0.0194,OF,of.acc_x_mg,20
0.0194,OF,of.acc_y_mg,-17
0.0194,OF,of.alt_cm,4
0.0194,OF,of.bias_x,0
0.0194,OF,of.bias_y,0
0.0194,OF,of.earth_x,0
0.0194,OF,of.earth_y,0
0.0194,OF,of.lin_acc_x_mg,2
0.0194,OF,of.lin_acc_y_mg,0
0.0194,OF,of.of2_dx,0
0.0194,OF,of.of2_dx_fix,0
0.0194,OF,of.of2_dy,0
0.0194,OF,of.of2_dy_fix,0
0.0194,OF,of.pit,-1.08
0.0194,OF,of.quality,255
0.0194,OF,of.rol,-0.95
0.0194,OF,of.sample_counter,2649
0.0194,OF,of.yaw,10.63
0.0247,OF,of.acc_x_mg,21
0.0247,OF,of.acc_y_mg,-18
0.0247,OF,of.alt_cm,4
0.0247,OF,of.bias_x,0
0.0247,OF,of.bias_y,0
0.0247,OF,of.earth_x,0
0.0247,OF,of.earth_y,0
0.0247,OF,of.lin_acc_x_mg,1
0.0247,OF,of.lin_acc_y_mg,-2
0.0247,OF,of.of2_dx,0
0.0247,OF,of.of2_dx_fix,0
0.0247,OF,of.of2_dy,0
0.0247,OF,of.of2_dy_fix,0
0.0247,OF,of.pit,-1.09
0.0247,OF,of.quality,255
0.0247,OF,of.rol,-0.95
0.0247,OF,of.sample_counter,2650
0.0247,OF,of.yaw,10.63
0.0300,OF,of.acc_x_mg,22
0.0300,OF,of.acc_y_mg,-18
0.0300,OF,of.alt_cm,4
0.0300,OF,of.bias_x,0
0.0300,OF,of.bias_y,0
0.0300,OF,of.earth_x,0
0.0300,OF,of.earth_y,0
0.0300,OF,of.lin_acc_x_mg,2
0.0300,OF,of.lin_acc_y_mg,-1
0.0300,OF,of.of2_dx,0
0.0300,OF,of.of2_dx_fix,0
0.0300,OF,of.of2_dy,0
0.0300,OF,of.of2_dy_fix,0
0.0300,OF,of.pit,-1.1
0.0300,OF,of.quality,255
0.0300,OF,of.rol,-0.96
0.0300,OF,of.sample_counter,2651
0.0300,OF,of.yaw,10.64
0.0336,OF,of.acc_x_mg,23
0.0336,OF,of.acc_y_mg,-17
0.0336,OF,of.alt_cm,4
0.0336,OF,of.bias_x,0
0.0336,OF,of.bias_y,0
0.0336,OF,of.earth_x,0
0.0336,OF,of.earth_y,0
0.0336,OF,of.lin_acc_x_mg,3
0.0336,OF,of.lin_acc_y_mg,0
0.0336,OF,of.of2_dx,0
0.0336,OF,of.of2_dx_fix,0
0.0336,OF,of.of2_dy,0
0.0336,OF,of.of2_dy_fix,0
0.0336,OF,of.pit,-1.11
0.0336,OF,of.quality,255
0.0336,OF,of.rol,-0.97
0.0336,OF,of.sample_counter,2652
0.0336,OF,of.yaw,10.64
0.0383,OF,of.acc_x_mg,24
0.0383,OF,of.acc_y_mg,-16
0.0383,OF,of.alt_cm,4
0.0383,OF,of.bias_x,0
0.0383,OF,of.bias_y,0
0.0383,OF,of.earth_x,0
0.0383,OF,of.earth_y,0
0.0383,OF,of.lin_acc_x_mg,4
0.0383,OF,of.lin_acc_y_mg,0
0.0383,OF,of.of2_dx,0
0.0383,OF,of.of2_dx_fix,0
0.0383,OF,of.of2_dy,0
0.0383,OF,of.of2_dy_fix,0
0.0383,OF,of.pit,-1.12
0.0383,OF,of.quality,255
0.0383,OF,of.rol,-0.97
0.0383,OF,of.sample_counter,2653
0.0383,OF,of.yaw,10.64
0.0433,OF,of.acc_x_mg,23
0.0433,OF,of.acc_y_mg,-16
0.0433,OF,of.alt_cm,4
0.0433,OF,of.bias_x,0
0.0433,OF,of.bias_y,0
0.0433,OF,of.earth_x,0
0.0433,OF,of.earth_y,0
0.0433,OF,of.lin_acc_x_mg,4
0.0433,OF,of.lin_acc_y_mg,0
0.0433,OF,of.of2_dx,0
0.0433,OF,of.of2_dx_fix,0
0.0433,OF,of.of2_dy,0
0.0433,OF,of.of2_dy_fix,0
0.0433,OF,of.pit,-1.12
0.0433,OF,of.quality,255
