iso_time,monotonic,type,motor_id,ccr_cmd,ccr_echo,vbat,grams,tare_g,cal_factor,thrust_N,omega_est,thrust_formula_N,prop_d_in,prop_pitch_in,k,a,b,rpm1,rpm2,rpm3,rpm4,rpm,t_est_N
2026-07-05T19:02:06,23048.538,START,1,2000,,,0.000,0.000,1,0.00000,0.00000,8.18545e-18,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:02:39,23081.551,STOP,1,2401,,,0.000,0.000,1,0.00000,290.52450,0.75964,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:02:52,23094.974,START,1,2401,,,0.000,0.000,1,0.00000,290.52450,0.75964,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:03:36,23139.186,STEP_UP,1,2501,2401,15.357,0.000,0.000,1,0.00000,362.97450,1.18575,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:03:41,23143.313,STOP,1,2501,2501,15.300,0.000,0.000,1,0.00000,362.97450,1.18575,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:03:43,23145.514,START,1,2501,2501,15.220,0.000,0.000,1,0.00000,362.97450,1.18575,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:04:19,23182.165,STOP,1,2523,2523,15.192,0.000,0.000,1,0.00000,378.91350,1.29218,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:04:21,23183.747,START,1,2523,2523,15.209,0.000,0.000,1,0.00000,378.91350,1.29218,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
2026-07-05T19:04:50,23212.330,STEP_UP,1,2623,2523,15.220,0.000,0.000,1,0.00000,451.36350,1.83356,9,4.5,9e-06,0.7245,-1449,0,0,0,0,0,0
